feature_0,timestamp,value
update_count,2005-05-23 21:00:00,14
update_count,2005-05-23 21:01:00,60995
update_count,2005-05-23 21:02:00,34886
update_count,2005-05-23 21:03:00,35069
update_count,2005-05-23 21:04:00,25854
update_count,2005-05-23 21:05:00,27468
update_count,2005-05-23 21:06:00,2965
update_count,2005-05-23 21:07:01,1935
update_count,2005-05-23 21:08:01,2353
update_count,2005-05-23 21:09:01,1655
update_count,2005-05-23 21:10:01,1700
update_count,2005-05-23 21:11:01,1674
update_count,2005-05-23 21:12:01,1809
update_count,2005-05-23 21:13:01,1964
update_count,2005-05-23 21:14:01,1687
update_count,2005-05-23 21:15:01,1574
update_count,2005-05-23 21:16:01,1651
update_count,2005-05-23 21:17:01,1959
update_count,2005-05-23 21:18:02,1850
update_count,2005-05-23 21:19:02,1587
update_count,2005-05-23 21:20:02,2093
update_count,2005-05-23 21:21:02,2071
update_count,2005-05-23 21:22:02,2358
update_count,2005-05-23 21:23:02,1742
update_count,2005-05-23 21:24:02,1960
update_count,2005-05-23 21:25:02,1466
update_count,2005-05-23 21:26:02,2452
update_count,2005-05-23 21:27:02,2183
update_count,2005-05-23 21:28:02,1749
update_count,2005-05-23 21:29:04,2650
update_count,2005-05-23 21:30:04,1876
update_count,2005-05-23 21:31:04,1336
update_count,2005-05-23 21:32:04,1826
update_count,2005-05-23 21:33:04,2855
update_count,2005-05-23 21:34:04,1461
update_count,2005-05-23 21:35:04,4297
update_count,2005-05-23 21:36:04,1897
update_count,2005-05-23 21:37:04,2120
update_count,2005-05-23 21:38:04,1219
update_count,2005-05-23 21:39:04,1512
update_count,2005-05-23 21:40:05,1449
update_count,2005-05-23 21:41:06,1611
update_count,2005-05-23 21:42:06,2038
update_count,2005-05-23 21:43:06,1739
update_count,2005-05-23 21:44:06,2532
update_count,2005-05-23 21:45:06,1564
update_count,2005-05-23 21:46:06,1656
update_count,2005-05-23 21:47:06,2082
update_count,2005-05-23 21:48:06,1242
update_count,2005-05-23 21:49:06,1968
update_count,2005-05-23 21:50:06,2014
update_count,2005-05-23 21:51:06,1619
update_count,2005-05-23 21:52:06,1338
update_count,2005-05-23 21:53:06,1803
update_count,2005-05-23 21:54:06,1507
update_count,2005-05-23 21:55:06,1167
update_count,2005-05-23 21:56:06,1353
update_count,2005-05-23 21:57:06,1127
update_count,2005-05-23 21:58:06,1455
update_count,2005-05-23 21:59:06,1603
update_count,2005-05-23 22:00:06,1391
update_count,2005-05-23 22:01:06,945
update_count,2005-05-23 22:02:06,1186
update_count,2005-05-23 22:03:06,1095
update_count,2005-05-23 22:04:06,1876
update_count,2005-05-23 22:05:06,2509
update_count,2005-05-23 22:06:07,1815
update_count,2005-05-23 22:07:07,1886
update_count,2005-05-23 22:08:07,2007
update_count,2005-05-23 22:09:07,1631
update_count,2005-05-23 22:10:07,4114
update_count,2005-05-23 22:11:07,2270
update_count,2005-05-23 22:12:07,2124
update_count,2005-05-23 22:13:07,2527
update_count,2005-05-23 22:14:07,2085
update_count,2005-05-23 22:15:07,1848
update_count,2005-05-23 22:16:07,1345
update_count,2005-05-23 22:17:07,2304
update_count,2005-05-23 22:18:07,1660
update_count,2005-05-23 22:19:07,1519
update_count,2005-05-23 22:20:07,1733
update_count,2005-05-23 22:21:07,1534
update_count,2005-05-23 22:22:07,1054
update_count,2005-05-23 22:23:07,1357
update_count,2005-05-23 22:24:07,2377
update_count,2005-05-23 22:25:07,2708
update_count,2005-05-23 22:26:07,4013
update_count,2005-05-23 22:27:07,4314
update_count,2005-05-23 22:28:07,3587
update_count,2005-05-23 22:29:07,3101
update_count,2005-05-23 22:30:07,1872
update_count,2005-05-23 22:31:07,3786
update_count,2005-05-23 22:32:07,3077
update_count,2005-05-23 22:33:07,2562
update_count,2005-05-23 22:34:07,1651
update_count,2005-05-23 22:35:07,1808
update_count,2005-05-23 22:36:07,1434
update_count,2005-05-23 22:37:07,2074
update_count,2005-05-23 22:38:07,2679
update_count,2005-05-23 22:39:07,2592
update_count,2005-05-23 22:40:07,3176
update_count,2005-05-23 22:41:07,1455
update_count,2005-05-23 22:42:07,1180
update_count,2005-05-23 22:43:07,1215
update_count,2005-05-23 22:44:07,2646
update_count,2005-05-23 22:45:07,3539
update_count,2005-05-23 22:46:07,2154
update_count,2005-05-23 22:47:07,2444
update_count,2005-05-23 22:48:07,2323
update_count,2005-05-23 22:49:07,3490
update_count,2005-05-23 22:50:07,3593
update_count,2005-05-23 22:51:07,6023
update_count,2005-05-23 22:52:07,18515
update_count,2005-05-23 22:53:07,3837
update_count,2005-05-23 22:54:07,3076
update_count,2005-05-23 22:55:07,3066
update_count,2005-05-23 22:56:07,14169
update_count,2005-05-23 22:57:07,27519
update_count,2005-05-23 22:58:07,32656
update_count,2005-05-23 22:59:07,10464
update_count,2005-05-23 23:00:07,13414
update_count,2005-05-23 23:01:07,9851
update_count,2005-05-23 23:02:07,10081
update_count,2005-05-23 23:03:07,5931
update_count,2005-05-23 23:04:07,2466
update_count,2005-05-23 23:05:07,2031
update_count,2005-05-23 23:06:07,2958
update_count,2005-05-23 23:07:07,7606
update_count,2005-05-23 23:08:07,4459
update_count,2005-05-23 23:09:07,2836
update_count,2005-05-23 23:10:07,1680
update_count,2005-05-23 23:11:07,1814
update_count,2005-05-23 23:12:07,1195
update_count,2005-05-23 23:13:07,1961
update_count,2005-05-23 23:14:07,3356
update_count,2005-05-23 23:15:07,3947
update_count,2005-05-23 23:16:07,1851
update_count,2005-05-23 23:17:07,3193
update_count,2005-05-23 23:18:07,8266
update_count,2005-05-23 23:19:07,1483
update_count,2005-05-23 23:20:07,2336
update_count,2005-05-23 23:21:07,2703
update_count,2005-05-23 23:22:07,2303
update_count,2005-05-23 23:23:07,1822
update_count,2005-05-23 23:24:07,1800
update_count,2005-05-23 23:25:07,1686
update_count,2005-05-23 23:26:07,1510
update_count,2005-05-23 23:27:07,2382
update_count,2005-05-23 23:28:07,1702
update_count,2005-05-23 23:29:07,1853
update_count,2005-05-23 23:30:07,1574
update_count,2005-05-23 23:31:07,1635
update_count,2005-05-23 23:32:07,1747
update_count,2005-05-23 23:33:07,2137
update_count,2005-05-23 23:34:07,2376
update_count,2005-05-23 23:35:07,2685
update_count,2005-05-23 23:36:07,2564
update_count,2005-05-23 23:37:07,1832
update_count,2005-05-23 23:38:07,2453
update_count,2005-05-23 23:39:07,2055
update_count,2005-05-23 23:40:07,1735
update_count,2005-05-23 23:41:07,3399
update_count,2005-05-23 23:42:07,2880
update_count,2005-05-23 23:43:07,1797
update_count,2005-05-23 23:44:08,3139
update_count,2005-05-23 23:45:08,1549
update_count,2005-05-23 23:46:08,2165
update_count,2005-05-23 23:47:08,2105
update_count,2005-05-23 23:48:08,2552
update_count,2005-05-23 23:49:08,3441
update_count,2005-05-23 23:50:08,1963
update_count,2005-05-23 23:51:08,1521
update_count,2005-05-23 23:52:08,1530
update_count,2005-05-23 23:53:08,1291
update_count,2005-05-23 23:54:08,1052
update_count,2005-05-23 23:55:08,1758
update_count,2005-05-23 23:56:08,1460
update_count,2005-05-23 23:57:08,1346
update_count,2005-05-23 23:58:08,1889
update_count,2005-05-23 23:59:08,3131
update_count,2005-05-24 00:00:08,3484
update_count,2005-05-24 00:01:08,3962
update_count,2005-05-24 00:02:08,3682
update_count,2005-05-24 00:03:08,6086
update_count,2005-05-24 00:04:08,6598
update_count,2005-05-24 00:05:08,2759
update_count,2005-05-24 00:06:08,2421
update_count,2005-05-24 00:07:08,1779
update_count,2005-05-24 00:08:08,1848
update_count,2005-05-24 00:09:08,4622
update_count,2005-05-24 00:10:08,3329
update_count,2005-05-24 00:11:08,5344
update_count,2005-05-24 00:12:08,8154
update_count,2005-05-24 00:13:08,7022
update_count,2005-05-24 00:14:08,5674
update_count,2005-05-24 00:15:08,7676
update_count,2005-05-24 00:16:08,7622
update_count,2005-05-24 00:17:08,2601
update_count,2005-05-24 00:18:08,2282
update_count,2005-05-24 00:19:08,3001
update_count,2005-05-24 00:20:08,2214
update_count,2005-05-24 00:21:08,1563
update_count,2005-05-24 00:22:08,3067
update_count,2005-05-24 00:23:08,2505
update_count,2005-05-24 00:24:08,1458
update_count,2005-05-24 00:25:08,1530
update_count,2005-05-24 00:26:08,1811
update_count,2005-05-24 00:27:08,2526
update_count,2005-05-24 00:28:08,3455
update_count,2005-05-24 00:29:08,2769
update_count,2005-05-24 00:30:08,2294
update_count,2005-05-24 00:31:08,3678
update_count,2005-05-24 00:32:08,1779
update_count,2005-05-24 00:33:08,2358
update_count,2005-05-24 00:34:08,2402
update_count,2005-05-24 00:35:08,2702
update_count,2005-05-24 00:36:08,2000
update_count,2005-05-24 00:37:08,2815
update_count,2005-05-24 00:38:08,2394
update_count,2005-05-24 00:39:08,1735
update_count,2005-05-24 00:40:08,2013
update_count,2005-05-24 00:41:08,1730
update_count,2005-05-24 00:42:08,3523
update_count,2005-05-24 00:43:08,3758
update_count,2005-05-24 00:44:08,1841
update_count,2005-05-24 00:45:08,1915
update_count,2005-05-24 00:46:08,2034
update_count,2005-05-24 00:47:08,1490
update_count,2005-05-24 00:48:09,1469
update_count,2005-05-24 00:49:09,1546
update_count,2005-05-24 00:50:09,1655
update_count,2005-05-24 00:51:09,1929
update_count,2005-05-24 00:52:09,1590
update_count,2005-05-24 00:53:09,2384
update_count,2005-05-24 00:54:09,2260
update_count,2005-05-24 00:55:09,2251
update_count,2005-05-24 00:56:09,2646
update_count,2005-05-24 00:57:09,2675
update_count,2005-05-24 00:58:09,1927
update_count,2005-05-24 00:59:10,1849
update_count,2005-05-24 01:00:10,2402
update_count,2005-05-24 01:01:10,2587
update_count,2005-05-24 01:02:11,2007
update_count,2005-05-24 01:03:11,2153
update_count,2005-05-24 01:04:11,2183
update_count,2005-05-24 01:05:11,2228
update_count,2005-05-24 01:06:11,2207
update_count,2005-05-24 01:07:11,2250
update_count,2005-05-24 01:08:11,1992
update_count,2005-05-24 01:09:11,1790
update_count,2005-05-24 01:10:12,2852
update_count,2005-05-24 01:11:12,2920
update_count,2005-05-24 01:12:12,1974
update_count,2005-05-24 01:13:12,2079
update_count,2005-05-24 01:14:12,5000
update_count,2005-05-24 01:15:12,2011
update_count,2005-05-24 01:16:13,2045
update_count,2005-05-24 01:17:13,3288
update_count,2005-05-24 01:18:13,2016
update_count,2005-05-24 01:19:13,1398
update_count,2005-05-24 01:20:13,1857
update_count,2005-05-24 01:21:14,2760
update_count,2005-05-24 01:22:14,2733
update_count,2005-05-24 01:23:14,1838
update_count,2005-05-24 01:24:14,1584
update_count,2005-05-24 01:25:14,2229
update_count,2005-05-24 01:26:14,2583
update_count,2005-05-24 01:27:14,2510
update_count,2005-05-24 01:28:14,2481
update_count,2005-05-24 01:29:14,2879
update_count,2005-05-24 01:30:14,6023
update_count,2005-05-24 01:31:14,3275
update_count,2005-05-24 01:32:14,2093
update_count,2005-05-24 01:33:14,1796
update_count,2005-05-24 01:34:14,2946
update_count,2005-05-24 01:35:14,1918
update_count,2005-05-24 01:36:14,1274
update_count,2005-05-24 01:37:14,2103
update_count,2005-05-24 01:38:14,1332
update_count,2005-05-24 01:39:15,2240
update_count,2005-05-24 01:40:16,2337
update_count,2005-05-24 01:41:16,1998
update_count,2005-05-24 01:42:16,8367
update_count,2005-05-24 01:43:16,2720
update_count,2005-05-24 01:44:16,1977
update_count,2005-05-24 01:45:16,1188
update_count,2005-05-24 01:46:16,1035
update_count,2005-05-24 01:47:16,1838
update_count,2005-05-24 01:48:16,2547
update_count,2005-05-24 01:49:16,1719
update_count,2005-05-24 01:50:16,1279
update_count,2005-05-24 01:51:16,3387
update_count,2005-05-24 01:52:16,5631
update_count,2005-05-24 01:53:16,3128
update_count,2005-05-24 01:54:16,2387
update_count,2005-05-24 01:55:16,1772
update_count,2005-05-24 01:56:16,1704
update_count,2005-05-24 01:57:16,2512
update_count,2005-05-24 01:58:16,1653
update_count,2005-05-24 01:59:16,1997
update_count,2005-05-24 02:00:16,2272
update_count,2005-05-24 02:01:16,1845
update_count,2005-05-24 02:02:16,1728
update_count,2005-05-24 02:03:16,1804
update_count,2005-05-24 02:04:16,2292
update_count,2005-05-24 02:05:16,3576
update_count,2005-05-24 02:06:16,2822
update_count,2005-05-24 02:07:16,3046
update_count,2005-05-24 02:08:16,2505
update_count,2005-05-24 02:09:16,1342
update_count,2005-05-24 02:10:16,3311
update_count,2005-05-24 02:11:16,3132
update_count,2005-05-24 02:12:16,2111
update_count,2005-05-24 02:13:16,1941
update_count,2005-05-24 02:14:16,1639
update_count,2005-05-24 02:15:16,3841
update_count,2005-05-24 02:16:16,2900
update_count,2005-05-24 02:17:16,1592
update_count,2005-05-24 02:18:16,2266
update_count,2005-05-24 02:19:16,1813
update_count,2005-05-24 02:20:16,3369
update_count,2005-05-24 02:21:16,3955
update_count,2005-05-24 02:22:16,4505
update_count,2005-05-24 02:23:16,6037
update_count,2005-05-24 02:24:16,5221
update_count,2005-05-24 02:25:16,2581
update_count,2005-05-24 02:26:16,2037
update_count,2005-05-24 02:27:16,1934
update_count,2005-05-24 02:28:16,1489
update_count,2005-05-24 02:29:16,2031
update_count,2005-05-24 02:30:16,3000
update_count,2005-05-24 02:31:16,2250
update_count,2005-05-24 02:32:17,1876
update_count,2005-05-24 02:33:17,2780
update_count,2005-05-24 02:34:17,2238
update_count,2005-05-24 02:35:17,1839
update_count,2005-05-24 02:36:17,1552
update_count,2005-05-24 02:37:17,6249
update_count,2005-05-24 02:38:17,5722
update_count,2005-05-24 02:39:17,4199
update_count,2005-05-24 02:40:17,2311
update_count,2005-05-24 02:41:18,2438
update_count,2005-05-24 02:42:18,1615
update_count,2005-05-24 02:43:18,19975
update_count,2005-05-24 02:44:20,4360
update_count,2005-05-24 02:45:20,2519
update_count,2005-05-24 02:46:20,2464
update_count,2005-05-24 02:47:20,1682
update_count,2005-05-24 02:48:20,1711
update_count,2005-05-24 02:49:21,1880
update_count,2005-05-24 02:50:22,2220
update_count,2005-05-24 02:51:22,1710
update_count,2005-05-24 02:52:22,1633
update_count,2005-05-24 02:53:22,5245
update_count,2005-05-24 02:54:22,1865
update_count,2005-05-24 02:55:22,1957
update_count,2005-05-24 02:56:22,5590
update_count,2005-05-24 02:57:22,1742
update_count,2005-05-24 02:58:22,1522
update_count,2005-05-24 02:59:22,5435
update_count,2005-05-24 03:00:22,6513
update_count,2005-05-24 03:01:22,4193
update_count,2005-05-24 03:02:22,5312
update_count,2005-05-24 03:03:22,4729
update_count,2005-05-24 03:04:22,6512
update_count,2005-05-24 03:05:22,5700
update_count,2005-05-24 03:06:22,3979
update_count,2005-05-24 03:07:22,3804
update_count,2005-05-24 03:08:22,2378
update_count,2005-05-24 03:09:22,3741
