f0_feature,timestamp,f0_value,f1_feature,f1_value,f2_feature,f2_value
update_count,2005-05-23 22:25:00,840,announcement_count,761,withdrawal_count,33
update_count,2005-05-23 22:26:00,1063,announcement_count,901,withdrawal_count,132
update_count,2005-05-23 22:27:00,1093,announcement_count,965,withdrawal_count,80
update_count,2005-05-23 22:28:00,1017,announcement_count,836,withdrawal_count,154
update_count,2005-05-23 22:29:00,757,announcement_count,605,withdrawal_count,100
update_count,2005-05-23 22:30:00,415,announcement_count,276,withdrawal_count,113
update_count,2005-05-23 22:31:00,727,announcement_count,647,withdrawal_count,28
update_count,2005-05-23 22:32:00,801,announcement_count,707,withdrawal_count,68
update_count,2005-05-23 22:33:00,890,announcement_count,801,withdrawal_count,50
update_count,2005-05-23 22:34:00,884,announcement_count,836,withdrawal_count,9
update_count,2005-05-23 22:35:00,542,announcement_count,502,withdrawal_count,7
update_count,2005-05-23 22:36:00,532,announcement_count,441,withdrawal_count,49
update_count,2005-05-23 22:37:00,521,announcement_count,468,withdrawal_count,20
update_count,2005-05-23 22:38:00,981,announcement_count,906,withdrawal_count,31
update_count,2005-05-23 22:39:00,947,announcement_count,865,withdrawal_count,52
update_count,2005-05-23 22:40:00,736,announcement_count,655,withdrawal_count,37
update_count,2005-05-23 22:41:00,489,announcement_count,439,withdrawal_count,17
update_count,2005-05-23 22:42:00,494,announcement_count,439,withdrawal_count,7
update_count,2005-05-23 22:43:00,793,announcement_count,723,withdrawal_count,40
update_count,2005-05-23 22:44:00,686,announcement_count,626,withdrawal_count,16
update_count,2005-05-23 22:45:00,1102,announcement_count,895,withdrawal_count,172
update_count,2005-05-23 22:46:00,785,announcement_count,674,withdrawal_count,65
update_count,2005-05-23 22:47:00,686,announcement_count,592,withdrawal_count,59
update_count,2005-05-23 22:48:00,1161,announcement_count,1065,withdrawal_count,53
update_count,2005-05-23 22:49:00,928,announcement_count,781,withdrawal_count,113
update_count,2005-05-23 22:50:00,1478,announcement_count,1392,withdrawal_count,40
update_count,2005-05-23 22:51:00,1207,announcement_count,1026,withdrawal_count,148
update_count,2005-05-23 22:52:00,3356,announcement_count,3230,withdrawal_count,84
update_count,2005-05-23 22:53:00,1181,announcement_count,1115,withdrawal_count,36
update_count,2005-05-23 22:54:00,2869,announcement_count,2821,withdrawal_count,4
update_count,2005-05-23 22:55:00,1171,announcement_count,1105,withdrawal_count,31
update_count,2005-05-23 22:56:00,1208,announcement_count,1141,withdrawal_count,23
update_count,2005-05-23 22:57:00,3368,announcement_count,3221,withdrawal_count,119
update_count,2005-05-23 22:58:00,1036,announcement_count,884,withdrawal_count,102
update_count,2005-05-23 22:59:00,1222,announcement_count,1118,withdrawal_count,76
update_count,2005-05-23 23:00:00,1221,announcement_count,1107,withdrawal_count,66
update_count,2005-05-23 23:01:00,737,announcement_count,684,withdrawal_count,24
update_count,2005-05-23 23:02:00,2410,announcement_count,2307,withdrawal_count,61
update_count,2005-05-23 23:03:00,979,announcement_count,918,withdrawal_count,35
update_count,2005-05-23 23:04:00,811,announcement_count,704,withdrawal_count,55
update_count,2005-05-23 23:05:00,1679,announcement_count,1616,withdrawal_count,35
update_count,2005-05-23 23:06:00,668,announcement_count,581,withdrawal_count,43
update_count,2005-05-23 23:07:00,522,announcement_count,473,withdrawal_count,17
update_count,2005-05-23 23:08:00,671,announcement_count,596,withdrawal_count,33
update_count,2005-05-23 23:09:00,878,announcement_count,811,withdrawal_count,33
update_count,2005-05-23 23:10:00,899,announcement_count,815,withdrawal_count,40
update_count,2005-05-23 23:11:00,686,announcement_count,641,withdrawal_count,17
update_count,2005-05-23 23:12:00,473,announcement_count,424,withdrawal_count,11
update_count,2005-05-23 23:13:00,494,announcement_count,414,withdrawal_count,39
update_count,2005-05-23 23:14:00,766,announcement_count,723,withdrawal_count,17
update_count,2005-05-23 23:15:00,1174,announcement_count,955,withdrawal_count,169
update_count,2005-05-23 23:16:00,807,announcement_count,767,withdrawal_count,10
update_count,2005-05-23 23:17:00,661,announcement_count,588,withdrawal_count,29
update_count,2005-05-23 23:18:00,887,announcement_count,835,withdrawal_count,19
update_count,2005-05-23 23:19:00,306,announcement_count,227,withdrawal_count,31
update_count,2005-05-23 23:20:00,852,announcement_count,787,withdrawal_count,41
update_count,2005-05-23 23:21:00,726,announcement_count,625,withdrawal_count,47
update_count,2005-05-23 23:22:00,630,announcement_count,539,withdrawal_count,67
update_count,2005-05-23 23:23:00,602,announcement_count,532,withdrawal_count,16
update_count,2005-05-23 23:24:00,743,announcement_count,654,withdrawal_count,65
update_count,2005-05-23 23:25:00,545,announcement_count,491,withdrawal_count,4
update_count,2005-05-23 23:26:00,561,announcement_count,505,withdrawal_count,30
update_count,2005-05-23 23:27:00,652,announcement_count,556,withdrawal_count,47
update_count,2005-05-23 23:28:00,852,announcement_count,778,withdrawal_count,46
update_count,2005-05-23 23:29:00,568,announcement_count,484,withdrawal_count,34
